t,PV,WT,DG,p_bch,p_bde,E_b,served_h,served_s,served_c,delta
1,  0.0000,  0.0000,  0.0000,  0.0000, 60.0000,150.0000, 30.0000,  0.0000, 30.0000, 0
2,  0.0000, 45.0000,  0.0000,  0.0000, 15.0000,133.3333, 30.0000,  0.0000, 30.0000, 0
3,  0.0000, 45.0000,  0.0000,  0.0000, 15.0000,116.6667, 30.0000,  0.0000, 30.0000, 0
4,  0.0000, 45.0000,  0.0000,  0.0000, 15.0000,100.0000, 30.0000,  0.0000, 30.0000, 0
5,  0.0000, 45.0000, 22.5439,  7.5439,  0.0000,107.1667, 30.0000,  0.0000, 30.0000, 1
6,  0.0000, 45.0000, 20.0000,  5.0000,  0.0000,111.9167, 30.0000,  0.0000, 30.0000, 1
7,  0.0000, 45.0000, 20.0000,  5.0000,  0.0000,116.6667, 30.0000,  0.0000, 30.0000, 1
8,  0.0000, 45.0000,  0.0000,  0.0000, 15.0000,100.0000, 30.0000,  0.0000, 30.0000, 0
9, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,114.2500, 30.0000, 30.0000, 30.0000, 0
10, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,128.5000, 30.0000, 30.0000, 30.0000, 0
11, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,142.7500, 30.0000, 30.0000, 30.0000, 0
12, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,157.0000, 30.0000, 30.0000, 30.0000, 0
13, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,171.2500, 30.0000, 30.0000, 30.0000, 0
14, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,185.5000, 30.0000, 30.0000, 30.0000, 0
15, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,199.7500, 30.0000, 30.0000, 30.0000, 0
16, 60.0000, 45.0000,  0.0000, 15.0000,  0.0000,214.0000, 30.0000, 30.0000, 30.0000, 0
17,  0.0000, 45.0000,  0.0000,  0.0000, 15.0000,197.3333, 30.0000,  0.0000, 30.0000, 0
18,  0.0000, 45.0000, 57.4000,  0.0000, 17.6000,177.7778, 30.0000,  0.0000, 90.0000, 1
19,  0.0000, 45.0000, 75.0000,  0.0000,  0.0000,177.7778, 30.0000,  0.0000, 90.0000, 1
20,  0.0000, 45.0000, 75.0000,  0.0000,  0.0000,177.7778, 30.0000,  0.0000, 90.0000, 1
21,  0.0000, 45.0000, 75.0000,  0.0000,  0.0000,177.7778, 30.0000,  0.0000, 90.0000, 1
22,  0.0000, 45.0000, 20.0000,  0.0000, 55.0000,116.6667, 30.0000,  0.0000, 90.0000, 1
23,  0.0000, 45.0000, 75.0000,  0.0000,  0.0000,116.6667, 30.0000,  0.0000, 90.0000, 1
24,  0.0000, 45.0000,  0.0000,  0.0000, 15.0000,100.0000, 30.0000,  0.0000, 30.0000, 0
